grant_number;in_cruz_list
2011780;FALSE
2027519;FALSE
2034824;FALSE
2040209;FALSE
2040684;FALSE
2041192;FALSE
2041218;FALSE
2041294;FALSE
2042870;FALSE
2043192;FALSE
2045129;FALSE
2045432;FALSE
2045505;FALSE
2045937;TRUE
2045977;FALSE
2046045;TRUE
2046079;FALSE
2046081;FALSE
2046233;FALSE
2046454;FALSE
2046607;FALSE
2046642;FALSE
2046856;TRUE
2047152;FALSE
2047292;FALSE
2047346;FALSE
2047420;FALSE
2047513;FALSE
2048018;FALSE
2048507;FALSE
2048985;FALSE
2048993;FALSE
2049023;FALSE
2049130;FALSE
2049558;FALSE
2049799;FALSE
2050161;FALSE
2050608;TRUE
2050613;FALSE
2050803;FALSE
2050922;FALSE
2050937;FALSE
2051184;FALSE
2055039;FALSE
2055237;TRUE
2055309;FALSE
2055322;FALSE
2055345;FALSE
2055375;TRUE
2055382;FALSE
2055419;FALSE
2055422;FALSE
2055426;FALSE
2055735;FALSE
2100017;FALSE
2100034;FALSE
2100139;FALSE
2100349;FALSE
2100408;FALSE
2100693;TRUE
2100793;FALSE
2100876;FALSE
2100961;FALSE
2101039;FALSE
2101083;FALSE
2101144;FALSE
2101169;FALSE
2101217;FALSE
2101244;FALSE
2101277;FALSE
2101287;FALSE
2101324;FALSE
2101395;FALSE
2101526;FALSE
2101665;FALSE
2101667;FALSE
2101668;FALSE
2105701;FALSE
2106476;FALSE
2106666;FALSE
2110604;FALSE
2111199;FALSE
2114241;FALSE
2114242;FALSE
2114660;FALSE
2115160;FALSE
2115429;FALSE
2115472;FALSE
2115522;FALSE
2115579;FALSE
2115614;FALSE
2115620;FALSE
2115621;FALSE
2115637;FALSE
2115695;FALSE
2115712;FALSE
2115730;FALSE
2115781;TRUE
2115921;TRUE
2115963;FALSE
2115971;FALSE
2116116;FALSE
2116118;FALSE
2116350;FALSE
2116467;FALSE
2116473;FALSE
2116484;FALSE
2116538;FALSE
2116543;FALSE
2116771;FALSE
2116799;FALSE
2117009;FALSE
2117083;TRUE
2117694;FALSE
2118482;FALSE
2119573;FALSE
2119630;FALSE
2120006;FALSE
2120031;FALSE
2120039;FALSE
2120047;FALSE
2120673;FALSE
2120880;FALSE
2120881;FALSE
2121455;FALSE
2121787;FALSE
2121797;FALSE
2121851;FALSE
2121852;FALSE
2121853;FALSE
2121858;FALSE
2121898;TRUE
2121899;FALSE
2122112;FALSE
2122212;FALSE
2122213;FALSE
2122232;FALSE
2122367;FALSE
2122436;FALSE
2122488;FALSE
2122553;FALSE
2122640;FALSE
2122673;TRUE
2122682;FALSE
2122701;FALSE
2123618;FALSE
2123635;FALSE
2124745;FALSE
2124838;FALSE
2124994;FALSE
2125288;FALSE
2126030;TRUE
2126506;FALSE
2126575;FALSE
2126635;FALSE
2127208;FALSE
2127228;FALSE
2127357;FALSE
2127359;FALSE
2127380;FALSE
2127909;FALSE
2127910;FALSE
2127911;FALSE
2127913;FALSE
2128198;FALSE
2128746;FALSE
2128803;FALSE
2128813;FALSE
2128991;FALSE
2131508;FALSE
2131875;FALSE
2133963;FALSE
2133964;FALSE
2134136;FALSE
2135328;TRUE
2135329;TRUE
2135669;TRUE
2136141;FALSE
2137338;FALSE
2137393;FALSE
2137410;FALSE
2139096;FALSE
2139125;FALSE
2140246;TRUE
2140262;TRUE
2140601;TRUE
2140646;FALSE
2140647;TRUE
2140867;TRUE
2140891;FALSE
2140892;FALSE
2140902;TRUE
2140903;FALSE
2140904;TRUE
2140905;TRUE
2140922;TRUE
2140987;TRUE
2141289;TRUE
2141313;TRUE
2141326;TRUE
2141328;TRUE
2141345;TRUE
2142739;TRUE
2143173;TRUE
2143867;TRUE
2143934;FALSE
2143993;TRUE
2144506;TRUE
2144618;TRUE
2144978;TRUE
2145011;TRUE
2145105;TRUE
2145783;FALSE
2145961;TRUE
2146448;FALSE
2146613;FALSE
2146983;FALSE
2146984;FALSE
2147011;TRUE
2147258;TRUE
2147284;TRUE
2147305;TRUE
2147325;TRUE
2147450;FALSE
2147635;TRUE
2147818;TRUE
2147839;TRUE
2147848;TRUE
2148014;TRUE
2148016;FALSE
2148202;FALSE
2148560;TRUE
2148561;TRUE
2148606;TRUE
2148704;TRUE
2148705;TRUE
2148739;TRUE
2148889;TRUE
2148920;TRUE
2148928;TRUE
2148971;TRUE
